Word,Index
populated,607
area,608
1.8,609
million,610
displaced,611
home,612
however,613
fear,614
announcement,615
coupled,616
hamper,617
warned,618
try,619
new,620
alongside,621
holding,622
jeopardised,623
earlier,624
hoped,625
agreed,626
early,627
next,628
looking,629
increasingly,630
unlikely,631
coming,632
nicaragua,633
filed,634
case,635
international,636
court,637
justice,638
stop,639
giving,640
together,641
berlin,642
largest,643
arm,644
exporter,645
engulfed,646
raid,647
many,648
treated,649
injury,650
rush,651
suffered,652
bullet,653
wound,654
observer,655
visited,656
al-shifa,657
roughly,658
200,659
troop,660
world,661
full,662
unfolded,663
descended,664
moved,665
coastal,666
road,667
accompanied,668
morning,669
imminent,670
northern,671
received,672
recent,673
footage,674
scene,675
volley,676
heard,677
seen,678
scrambling,679
ducking,680
behind,681
vehicle,682
channel,683
stormed,684
[,685
],686
mark,687
regev,688
special,689
adviser,690
prime,691
minister,692
cnn,693
involved,694
directly,695
though,696
giorgios,697
petropoulos,698
head,699
sub-office,700
co-ordinator,701
affair,702
ocha,703
team,704
sent,705
found,706
large,707
handful,708
80,709
patient,710
room,711
addition,712
fallen,713
trampled,714
certainty,715
larger,716
upper,717
lower,718
chest,719
walked,720
shifa,721
usually,722
shoot,723
thickest,724
emphasised,725
personnel,726
present,727
difficult,728
precisely,729
happened,730
dr,731
mohamed,732
salha,733
interim,734
manager,735
al-awda,736
previously,737
176,738
142,739
broken,740
limb,741
responding,742
lord,743
entering,744
level,745
simply,746
remaining,747
nasser,748
meal,749
parachuted,750
jointly,751
jordan,752
well-known,753
thought,754
outside,755
denies,756
investigating,757
top,758
framework,759
six-week,760
administration,761
saturday,762
less,763
accepted,764
starting,765
agrees,766
defined,767
category,768
vulnerable,769
sick,770
elderly,771
unnamed,772
mediator,773
reconvene,774
cairo,775
sunday,776
delegation,777
certain,778
technical,779
issue,780
possible,781
resolved,782
c-130,783
transport,784
"38,000",785
coastline,786
command,787
effort,788
expanding,789
route,790
airdropped,791
jan,792
egeland,793
norwegian,794
refugee,795
returned,796
three-day,797
visit,798
prepared,799
nightmare,800
worse,801
much,802
dying,803
think,804
ruin,805
allowing,806
highlighted,807
importance,808
sustaining,809
dire,810
inefficient,811
haphazard,812
lead,813
wrong,814
getting,815
resident,816
medhat,817
taher,818
method,819
woefully,820
enough,821
school,822
?,823
"10,000",824
better,825
send,826
via,827
airdropping,828
parachute,829
insist,830
facilitate,831
vice-president,832
kamala,833
harris,834
meet,835
cabinet,836
benny,837
gantz,838
monday,839
truce,840
quote,841
meanwhile,842
camp,843
rafah,844
organization,845
tedros,846
adhanom,847
ghebreyesus,848
outrageous,849
army,850
precision,851
strike,852
islamic,853
jihad,854
militant,855
pro-palestinian,856
supporter,857
disrupt,858
speech,859
lammy,860
event,861
al-rashid,862
community,863
tackle,864
growing,865
hunger,866
fergal,867
keane,868
report,869
jerusalem,870
