sub_title,date,Newspaper,Body Text,title
Germany and the US are rendering a draft resolution on the Bosnian genocide meaningless with their position on Gaza .,22 May 2024,al-j,"on may 1 , a draft resolution was submitted to the united nations general assembly ( unga ) to declare july 11 a day of remembrance for the 1995 srebrenica genocide . the document was put forward by germany and rwanda and co-sponsored by the united states and other countries . it will be debated and voted on during a unga session on may 23 .",the theatrics of genocidal impunity
Daniel Hagari goes against Netanyahu by saying that identifying the impossible task of defeating Hamas as Israel’s end goal in Gaza means ‘ throwing sand in people’s eyes ’ .,20 Jun 2024,al-j,al jazeera is reporting from outside israel because it has been banned by the israeli government .,israeli military spokesman’s hamas defeat remarks widen rift with netanyahu
"The Israeli government and Palestinian groups including Hamas have committed war crimes during the war on Gaza , according to a report from the UN Commission of Inquiry . It detailed a long list of offences , including the use of extermination , starvation , indiscriminate attacks , siege warfare , and sexual and other gender-based violence .",12 Jun 2024,al-j,,"un report on israel , hamas : murder , starvation , gender-based violence"
"Attacks target Hodeidah’s airport and region north of Sanaa , Al Masirah TV says , as Houthis continue Red Sea attacks .",7 Jun 2024,al-j,"the united states and united kingdom have carried out six air strikes against targets in yemen , a houthi-run television station reports , as the yemeni group targets shipping lanes in the red sea .","us and uk air strikes hit yemen , houthi-run tv reports"
"Video shows the rescue of Palestinian girl who’d been trapped under rubble after an Israeli attack in Gaza . As she was freed from the debris the child is seen asking for her mother , who died in the attack according to witnesses .",13 May 2024,al-j,,palestinian girl rescued from rubble after israeli attack in gaza
Israel’s assault on the Gaza Strip has placed a pall over Eid celebrations for Palestinians .,9 Apr 2024,al-j,"this year , the shadow of continued israeli attacks on the gaza strip looms large over palestinians as they prepare for the muslim holiday of eid al-fitr , marking the end of the fasting month of ramadan .",photos : palestinians in gaza prepare for eid amid death and destruction
"As the world celebrates International Women’s Day , Gaza’s Health Ministry provided an update on the challenges facing women in the Gaza Strip .",8 Mar 2024,al-j,"here’s how things stand on friday , march 8 , 2024 :","israel’s war on gaza : list of key events , day 154"
A symbol of coexistence no more,8 Jun 2024,al-j,"on march 6 , ayman shaer found himself lying on the ground in the ancient square of sebastia , bleeding and in unbearable pain .",' they would have to kill me first '
"Police out in full force , some using chemical irritants and Tasers to disperse students , as more universities join movement .",28 Apr 2024,al-j,"hundreds of students have been arrested across universities in the united states , with scuffles reported between pro-israeli and pro-palestinian demonstrators at ucla , as rallies for a ceasefire in gaza and divestment from companies linked to israel spread across us campuses .","hundreds of students arrested in us gaza war protests , scuffles at ucla"
"As an Israeli ground assault on Gaza’s last ‘ safe zone ’ looms , two children in Rafah brace for it .",25 Apr 2024,al-j,"“ we’re afraid people will resort to killing each other for food , ” 11-year-old husam says as he recounts his daily battle to secure basic necessities like food , water and sanitation in rafah during the israel-hamas war .",how gaza’s children are preparing for israel’s invasion of rafah i close up
Two countries warn of ‘ potentially devastating consequences ’ if Israel pushes ahead with ground offensive in Rafah .,22 Mar 2024,al-j,"australia and the united kingdom have called for an “ immediate cessation of fighting ” in gaza , warning of “ potentially devastating consequences ” if israel goes ahead with a planned ground assault on the southern city of rafah .","uk , australia call for ‘ immediate ’ end to fighting in gaza"
Resolution calls on UN Security Council to favourably reconsider Palestine’s request to become the 194th member of the United Nations .,10 May 2024,al-j,this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates : un overwhelmingly votes for palestine rights
Many officials around the world have welcomed the resolution .,25 Mar 2024,al-j,many world leaders have welcomed a united nations security council ( unsc ) resolution that demands an immediate ceasefire between israel and the palestinian group hamas in gaza .,world reacts to unsc resolution demanding gaza ceasefire
"Aid trucks are waiting an average of 20 days to access the enclave , the NGO says , as warnings of impending famine rise .",18 Mar 2024,al-j,"israel is using bureaucracy to “ deliberately ” hinder aid supplies headed into gaza , oxfam has claimed .",oxfam accuses israel of ‘ deliberately ’ blocking aid to famine-stalked gaza
"Israeli Channel 14 aired her photo , claiming she was a ‘ terrorist ’ . A few weeks later an Israeli missile killed her and her son .",26 May 2024,al-j,"on april 24 , amna homaid’s torn body lay in the rubble of a house in shati camp , in the western part of gaza city , as rescuers tried to find survivors . an israeli attack had struck the building , killing her and her eldest son mahdi . her brother and her other five children were injured but survived .",remembering palestinian journalist amna homaid
"US riot police have been filmed arresting a person who appears to be disabled during anti-war protests at the University of Texas . Dozens of students were arrested as police moved in to clear the encampment , reportedly using pepper spray to disperse crowds .",30 Apr 2024,al-j,,police arrest anti-war student protesters at texas university
