Word,Index
affirm,601
price,602
take,603
five,604
taken,605
enemy's,606
bombing,607
central,608
points,609
qatar,610
months,611
discussions,612
secure,613
short-term,614
gradually,615
female,616
freed,617
convicted,618
serious,619
offences,620
jails,621
move,622
populated,623
areas,624
1.8,625
million,626
displaced,627
homes,628
however,629
fears,630
announcement,631
coupled,632
hamper,633
warned,634
try,635
new,636
alongside,637
holding,638
jeopardised,639
earlier,640
hoped,641
agreed,642
early,643
next,644
looking,645
increasingly,646
unlikely,647
coming,648
day,649
nicaragua,650
filed,651
case,652
international,653
court,654
justice,655
stop,656
giving,657
together,658
berlin,659
largest,660
arms,661
exporters,662
fear,663
engulfed,664
raid,665
many,666
treated,667
injuries,668
rush,669
suffered,670
bullet,671
wounds,672
observers,673
visited,674
city's,675
al-shifa,676
roughly,677
200,678
troops,679
leaders,680
world,681
full,682
unfolded,683
descended,684
moved,685
coastal,686
road,687
accompanied,688
morning,689
imminent,690
northern,691
received,692
recent,693
footage,694
scene,695
volleys,696
heard,697
seen,698
scrambling,699
ducking,700
behind,701
vehicles,702
uk's,703
channel,704
4,705
stormed,706
[,707
],708
mark,709
regev,710
special,711
adviser,712
prime,713
minister,714
cnn,715
involved,716
directly,717
come,718
though,719
giorgios,720
petropoulos,721
head,722
sub-office,723
co-ordinator,724
affairs,725
ocha,726
team,727
sent,728
found,729
large,730
handful,731
80,732
patients,733
room,734
addition,735
fallen,736
trampled,737
say,738
certainty,739
larger,740
upper,741
lower,742
patient,743
shot,744
chest,745
walked,746
shifa,747
usually,748
shoot,749
thickest,750
emphasised,751
personnel,752
present,753
difficult,754
precisely,755
happened,756
dr,757
mohamed,758
salha,759
interim,760
manager,761
al-awda,762
previously,763
176,764
142,765
broken,766
limbs,767
responding,768
lord,769
entering,770
levels,771
simply,772
remaining,773
nasser,774
meals,775
parachuted,776
jointly,777
jordan's,778
well-known,779
thought,780
outside,781
denies,782
investigating,783
top,784
official,785
framework,786
six-week,787
administration,788
saturday,789
less,790
accepted,791
starting,792
agrees,793
defined,794
category,795
vulnerable,796
sick,797
elderly,798
unnamed,799
mediators,800
reconvene,801
cairo,802
sunday,803
delegations,804
certain,805
technical,806
issues,807
possible,808
resolved,809
c-130,810
transport,811
"38,000",812
coastline,813
command,814
effort,815
expanding,816
corridors,817
routes,818
jordan,819
airdropped,820
jan,821
egeland,822
norwegian,823
refugee,824
returned,825
three-day,826
visit,827
prepared,828
nightmare,829
worse,830
much,831
dying,832
think,833
ruins,834
allowing,835
highlighted,836
importance,837
sustaining,838
dire,839
agencies,840
inefficient,841
haphazard,842
lead,843
wrong,844
getting,845
resident,846
medhat,847
taher,848
method,849
woefully,850
enough,851
school,852
?,853
"10,000",854
better,855
send,856
via,857
airdropping,858
parachutes,859
insist,860
facilitate,861
vice-president,862
kamala,863
harris,864
meet,865
cabinet,866
member,867
benny,868
gantz,869
monday,870
truce,871
quotes,872
meanwhile,873
camp,874
rafah,875
organization,876
tedros,877
adhanom,878
ghebreyesus,879
outrageous,880
army,881
precision,882
strike,883
islamic,884
jihad,885
militants,886
area,887
un's,888
pro-palestinian,889
supporters,890
disrupt,891
speech,892
lammy,893
events,894
al-rashid,895
community,896
tackle,897
growing,898
hunger,899
fergal,900
keane,901
reports,902
jerusalem,903
die,904
kinds,905
places,906
ways,907
rubble,908
blasted,909
explosives,910
punctured,911
high,912
velocity,913
bullets,914
flying,915
shards,916
metal,917
enters,918
fifth,919
haunt,920
essential,921
although,922
precise,923
require,924
kind,925
likely,926
conditions,927
distract,928
risked,929
lives,930
gather,931
pre-dawn,932
darkness,933
middle,934
zone,935
refugees,936
proportion,937
wanted,938
live,939
cruel,940
irony,941
eighty-five,942
per,943
cent,944
dismantled,945
normal,946
economic,947
activity,948
disrupted,949
hospitals,950
struggle,951
medicine,952
power,953
concerns,954
fundamental,955
bear,956
mind,957
understand,958
outset,959
expressed,960
public,961
statements,962
regarded,963
primary,964
responsibility,965
ensuring,966
delivered,967
safely,968
sign,969
enabling,970
environment,971
volumes,972
absence,973
mounting,974
witness,975
made,976
seeing,977
cascading,978
collapse,979
sewage,980
sanitation,981
services,982
telecoms,983
shortages,984
healthcare,985
rights,986
office,987
15,988
2,989
december,990
co-ordination,991
humanitarians,992
teams,993
extremely,994
movement,995
access,996
entirely,997
twelve,998
adopted,999
resolution,1000
2720,1001
parties,1002
allow,1003
enable,1004
unhindered,1005
scale,1006
throughout,1007
26,1008
january,1009
icj,1010
required,1011
effective,1012
measures,1013
provision,1014
urgently,1015
basic,1016
9,1017
february,1018
relief,1019
welfare,1020
unrwa,1021
phillipe,1022
accusing,1023
blocking,1024
1.1,1025
500,1026
daily,1027
average,1028
90,1029
falling,1030
parachute,1031
skies,1032
welcomed,1033
symbol,1034
failure,1035
roads,1036
leading,1037
huge,1038
amounts,1039
travel,1040
continuing,1041
chaotic,1042
spawned,1043
mean,1044
lorry,1045
drivers,1046
criminal,1047
gangs,1048
stealing,1049
sell,1050
termed,1051
mogadishu-like,1052
may,1053
developing,1054
reference,1055
chaos,1056
enveloped,1057
somali,1058
capital,1059
civil,1060
1990s,1061
police,1062
unwilling,1063
escort,1064
israelis,1065
hamas's,1066
provoked,1067
vanished,1068
survive,1069
tunnels,1070
facilitating,1071
example,1072
escorted,1073
deliveries,1074
nights,1075
prior,1076
stacked,1077
border,1078
turned,1079
distribute,1080
mistrustful,1081
infiltrated,1082
wake,1083
allegations,1084
sacked,1085
12,1086
employees,1087
either,1088
attacks,1089
helping,1090
detention,1091
israel's,1092
defence,1093
yoav,1094
gallant,1095
longer,1096
lost,1097
legitimacy,1098
function,1099
beginning,1100
kidnapped,1101
250,1102
ordered,1103
complete,1104
blockade,1105
everything,1106
closed,1107
…,1108
animals,1109
acting,1110
accordingly,1111
position,1112
changed,1113
announcing,1114
19,1115
allowed,1116
entreaties,1117
western,1118
politicians,1119
worried,1120
breach,1121
law,1122
restore,1123
lords,1124
make,1125
sure,1126
shelter,1127
available,1128
constant,1129
violent,1130
starvation,1131
ask,1132
comprising,1133
powerful,1134
nations,1135
earth,1136
ensure,1137
nearly,1138
eight,1139
decades,1140
shortage,1141
experience,1142
resources,1143
addressing,1144
medecins,1145
frontieres,1146
christopher,1147
lockyear,1148
laws,1149
principles,1150
collectively,1151
depend,1152
eroded,1153
point,1154
becoming,1155
meaningless,1156
illusion,1157
speak,1158
29,1159
turning,1160
circumstances,1161
reach,1162
hungry,1163
tell,1164
realised,1165
destruction,1166
risks,1167
generation,1168
marched,1169
venue,1170
athletics,1171
indoor,1172
championships,1173
glasgow,1174
protest,1175
demonstrators,1176
gathered,1177
east,1178
barrowland,1179
park,1180
finished,1181
arena,1182
weekend,1183
scottish,1184
athletes,1185
laura,1186
muir,1187
josh,1188
kerr,1189
competing,1190
finals,1191
middle-distance,1192
runner,1193
jemma,1194
reekie,1195
qualified,1196
fastest,1197
800m,1198
final,1199
activists,1200
demonstrations,1201
cities,1202
towns,1203
across,1204
scotland,1205
regularly,1206
hostilities,1207
event,1208
organised,1209
coalition,1210
genocide,1211
committee,1212
wael,1213
shawish,1214
society,1215
affiliate,1216
boycott,1217
global,1218
athletic,1219
message,1220
authorities,1221
within,1222
federation,1223
based,1224
respecting,1225
follows,1226
rishi,1227
sunak's,1228
downing,1229
islamists,1230
far-right,1231
two,1232
sides,1233
extremist,1234
coin,1235
loathed,1236
britain,1237
sunak,1238
concern,1239
regular,1240
protests,1241
taking,1242
every,1243
8,1244
violence,1245
breaking,1246
moira,1247
leng,1248
attended,1249
vigil,1250
single,1251
workers,1252
remember,1253
four,1254
share,1255
stories,1256
raise,1257
awareness,1258
what's,1259
happening,1260
awful,1261
oppression,1262
pictures,1263
first-hand,1264
queuing,1265
02:30,1266
dead,1267
marches,1268
left,1269
sense,1270
solidarity,1271
sadness,1272
ok,1273
strongly,1274
labour,1275
rochdale,1276
constituency,1277
greater,1278
manchester,1279
george,1280
galloway,1281
party,1282
